"strain","seedbank","price","currency","url","source","file"
"Auto Runtz Gluntz","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Sour Diesel","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Special Skunk","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Strawberry Ferry","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Sunmango","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Sweet Tooth","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Tropical Coconut","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Watermelon Jam","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto White Prussian","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto White Widow","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Wild Dwarf","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto Zkittly Zi Zi","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Autoflowering","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\visionseeds.nl_wp-json_wc_store_products_attributes.json"
"autoflowering","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Auto-Flowering","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\kcbrains.com_wp-json_wc_store_products_tags.json"
"Automática","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\lasemillaautomatica.com_wp-json_wc_store_products_tags.json"
"awards","","0","EUR","/tag/awards/","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\cbdcrew.org_wp-json_wp_v2_tags.json"
"Banana Monkey","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Beginner","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\blimburnseeds.com_wp-json_wc_store_products_attributes.json"
"benefits","","0","EUR","/tag/benefits/","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\cbdcrew.org_wp-json_wp_v2_tags.json"
"Best For Beginners","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_attributes.json"
"Best for Indoor/Outdoor","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_attributes.json"
"Bestseller","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\blimburnseeds.com_wp-json_wc_store_products_tags.json"
"Bigger Bud","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Bloom","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\genehtik.com_wp-json_wc_store_products_tags.json"
"blubonik","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\genehtik.com_wp-json_wc_store_products_tags.json"
"Blueberry Berry","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"bones","","0","EUR","/tag/bones/","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\cbdcrew.org_wp-json_wp_v2_tags.json"
"Bouquet","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\aceseeds.org_wp-json_wc_store_products_attributes.json"
"brain","","0","EUR","/tag/brain/","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\cbdcrew.org_wp-json_wp_v2_tags.json"
"Branchy","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Brand","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\blimburnseeds.com_wp-json_wc_store_products_attributes.json"
"Brands","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\aceseeds.org_wp-json_wc_store_products_attributes.json"
"Brasil","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\kcbrains.com_wp-json_wc_store_products_tags.json"
"Brazil","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\kcbrains.com_wp-json_wc_store_products_tags.json"
"Bruce Banner #5","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Bubblegum Extra","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"California","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\kcbrains.com_wp-json_wc_store_products_tags.json"
"Camiseta","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\lasemillaautomatica.com_wp-json_wc_store_products_tags.json"
"cannabis","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Cannabis","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\genehtik.com_wp-json_wc_store_products_tags.json"
"Caramel King","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"Category Blocks","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\aceseeds.org_wp-json_wc_store_products_attributes.json"
"Category Label","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\aceseeds.org_wp-json_wc_store_products_attributes.json"
"CBD","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\kcbrains.com_wp-json_wc_store_products_tags.json"
"CBD","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\aceseeds.org_wp-json_wc_store_products_attributes.json"
"CBD","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\blimburnseeds.com_wp-json_wc_store_products_attributes.json"
"CBD","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\spliffseeds.nl_wp-json_wc_store_products_attributes.json"
"CBD %","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\blimburnseeds.com_wp-json_wc_store_products_attributes.json"
"CBD Cheese","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"CBD Critical","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
"CBD Good Wild Shark","","0","EUR","","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\bulkseedbank.org_wp-json_wc_store_products_tags.json"
