"host","title","price_norm","link","image","vendor","source_url","type","id","slug"
"aceseeds.org","ACE Mix Regular","21","https://www.aceseeds.org/semillas/ace-mix-regular-semillas-baratas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1629","ace-mix-regular-semillas-baratas"
"aceseeds.org","Afghan Lemon Feminizada","72,5","https://www.aceseeds.org/semillas/afghan-lemon-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25901","afghan-lemon-semillas-feminizadas"
"aceseeds.org","African Gas Feminizada","15","https://www.aceseeds.org/semillas/african-gas-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31675","african-gas-semillas-feminizadas"
"aceseeds.org","Bangi Haze Regular","35","https://www.aceseeds.org/semillas/bangi-haze-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1659","bangi-haze-semillas-regulares"
"aceseeds.org","Bangi Congo x Zamaldelica I+D Regular","32,5","https://www.aceseeds.org/semillas/bangicongoxzamaldelica-regular/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6327","bangicongoxzamaldelica-regular"
"aceseeds.org","Bangi Haze x ErdPurt I+D Regular","50","https://www.aceseeds.org/semillas/bangihazexerdpurt-regular/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6341","bangihazexerdpurt-regular"
"aceseeds.org","Black Mango Regular","55","https://www.aceseeds.org/semillas/black-mango-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34109","black-mango-semillas-regulares"
"aceseeds.org","C5 Haze x Kali China Feminizada","65","https://www.aceseeds.org/semillas/c5-haze-x-kali-china-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25907","c5-haze-x-kali-china-semillas-feminizadas"
"aceseeds.org","C5 Haze x Zamaldelica I+D Regular","42,25","https://www.aceseeds.org/semillas/c5hazexzamaldelica-regular/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6425","c5hazexzamaldelica-regular"
"aceseeds.org","CBD # 1 x Panama I+D Feminizada","42,25","https://www.aceseeds.org/semillas/cbd1xpanama-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6513","cbd1xpanama-semillas-feminizadas"
"aceseeds.org","China Yunnan Regular","35","https://www.aceseeds.org/semillas/china-yunnan-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25840","china-yunnan-semillas-regulares"
"aceseeds.org","Congo Regular","35","https://www.aceseeds.org/semillas/congo-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1719","congo-semillas-regulares"
"aceseeds.org","Durban Poison 80s Regular","55","https://www.aceseeds.org/semillas/durban-poison-80s-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","30842","durban-poison-80s-semillas-regulares"
"aceseeds.org","Early Evil Haze Feminizada","80","https://www.aceseeds.org/semillas/early-evil-haze-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31538","early-evil-haze-semillas-feminizadas"
"aceseeds.org","ErdPurt Regular","35","https://www.aceseeds.org/semillas/erdpurt-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1747","erdpurt-semillas-regulares"
"aceseeds.org","ErdPurt x Panama I+D Feminizada","32,5","https://www.aceseeds.org/semillas/erdpurtxpanama-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6243","erdpurtxpanama-semillas-feminizadas"
"aceseeds.org","ErdPurt x PCK Regular","65","https://www.aceseeds.org/semillas/erdpurtxpck-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6773","erdpurtxpck-semillas-regulares"
"aceseeds.org","Foitong Regular","55","https://www.aceseeds.org/semillas/foitong-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34113","foitong-semillas-regulares"
"aceseeds.org","Golden Tiger 3ª versión Thai Dominante Feminizada","65","https://www.aceseeds.org/semillas/golden-tiger-3a-version-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","5340","golden-tiger-3a-version-semillas-feminizadas"
"aceseeds.org","Golden Tiger Regular","35","https://www.aceseeds.org/semillas/golden-tiger-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2025","golden-tiger-semillas-regulares"
"aceseeds.org","Golden Tiger x ErdPurt I+D Regular","50","https://www.aceseeds.org/semillas/goldentigerxerdpurt-regular/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6389","goldentigerxerdpurt-regular"
"aceseeds.org","Guawi Feminizada","15","https://www.aceseeds.org/semillas/guawi-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2880","guawi-semillas-feminizadas"
"aceseeds.org","Hangkrarok Gigante Regular","30","https://www.aceseeds.org/semillas/hangkrarok-gigante-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34183","hangkrarok-gigante-semillas-regulares"
"aceseeds.org","Hangkrarok Manao Regular","55","https://www.aceseeds.org/semillas/hangkrarok-manao-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34147","hangkrarok-manao-semillas-regulares"
