"host","title","price","link","image","vendor","source_url","type","id","slug"
"aceseeds.org","Afgana Maruf Selección Roja Regular","150","https://www.aceseeds.org/semillas/afgana-maruf-seleccion-roja-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","32966","afgana-maruf-seleccion-roja-semillas-regulares"
"aceseeds.org","Afgana Nawa Selección Élite Regular","150","https://www.aceseeds.org/semillas/afgana-nawa-seleccion-elite-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","32940","afgana-nawa-seleccion-elite-semillas-regulares"
"aceseeds.org","Afghan Lemon Feminizada","72.5","https://www.aceseeds.org/semillas/afghan-lemon-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25901","afghan-lemon-semillas-feminizadas"
"aceseeds.org","Auto Malawi x Northern Lights Feminizada","9","https://www.aceseeds.org/semillas/auto-malawi-nl-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","3270","auto-malawi-nl-semillas-feminizadas"
"aceseeds.org","Bangi Haze Regular","35","https://www.aceseeds.org/semillas/bangi-haze-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1659","bangi-haze-semillas-regulares"
"aceseeds.org","Bangi Haze x ErdPurt I+D Regular","50","https://www.aceseeds.org/semillas/bangihazexerdpurt-regular/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6341","bangihazexerdpurt-regular"
"aceseeds.org","Black Mango Regular","55","https://www.aceseeds.org/semillas/black-mango-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34109","black-mango-semillas-regulares"
"aceseeds.org","Bubba Kush x PCK Regular","35","https://www.aceseeds.org/semillas/bubba-kushxpck-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6814","bubba-kushxpck-semillas-regulares"
"aceseeds.org","CBD # 1 x Panama I+D Feminizada","42.25","https://www.aceseeds.org/semillas/cbd1xpanama-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6513","cbd1xpanama-semillas-feminizadas"
"aceseeds.org","CBD # 5 x ErdPurt I+D Regular","42.25","https://www.aceseeds.org/semillas/cbd5xerdpurt-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6347","cbd5xerdpurt-semillas-regulares"
"aceseeds.org","China Yunnan Regular","35","https://www.aceseeds.org/semillas/china-yunnan-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25840","china-yunnan-semillas-regulares"
"aceseeds.org","Congo Feminizada","15","https://www.aceseeds.org/semillas/congo-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","199","congo-semillas-feminizadas"
"aceseeds.org","Congo Regular","35","https://www.aceseeds.org/semillas/congo-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1719","congo-semillas-regulares"
"aceseeds.org","ErdPurt x Panama I+D Feminizada","32.5","https://www.aceseeds.org/semillas/erdpurtxpanama-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6243","erdpurtxpanama-semillas-feminizadas"
"aceseeds.org","Etíope Regular","35","https://www.aceseeds.org/semillas/etiopia-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","26556","etiopia-semillas-regulares"
"aceseeds.org","Foitong Regular","55","https://www.aceseeds.org/semillas/foitong-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34113","foitong-semillas-regulares"
"aceseeds.org","Frosty’s Purple Freak Feminizada","98","https://www.aceseeds.org/semillas/frostys_purple_freak_semillas_feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","29431","frostys_purple_freak_semillas_feminizadas"
"aceseeds.org","Golden Tiger Feminizada","15","https://www.aceseeds.org/semillas/golden-tiger-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25939","golden-tiger-semillas-feminizadas"
"aceseeds.org","Golden Tiger Regular","35","https://www.aceseeds.org/semillas/golden-tiger-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2025","golden-tiger-semillas-regulares"
"aceseeds.org","Green Haze #19 x Zamaldelica I+D Regular","32.5","https://www.aceseeds.org/semillas/greenhazexzamaldelica-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6315","greenhazexzamaldelica-semillas-regulares"
"aceseeds.org","Hangkrarok Cola Gorda Regular","30","https://www.aceseeds.org/semillas/hangkrarok-cola-gorda-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34196","hangkrarok-cola-gorda-semillas-regulares"
