"link","ok","code","reason"
"https://blimburnseeds.com/haze-collection-psychedelic-power/","True","200","OK"
"https://blimburnseeds.com/high-thc-selection-fem/","True","200","OK"
"https://blimburnseeds.com/high-yield-selection-auto/","True","200","OK"
"https://blimburnseeds.com/high-yield-selection-fem/","True","200","OK"
"https://blimburnseeds.com/oh-my-thai-auto/","True","200","OK"
"https://blimburnseeds.com/pineapple-diesel-auto/","True","200","OK"
"https://blimburnseeds.com/santa-marta-haze-auto/","True","200","OK"
"https://blimburnseeds.com/sativa-elite-fem/","True","200","OK"
"https://blimburnseeds.com/shortcut-auto/","True","200","OK"
"https://blimburnseeds.com/watermelon-zkittlez-autoflower/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-ak-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-amnesia-haze-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-amnesia-platinum-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-blueberry-berry-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-bruce-banner/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-bubblegum-extra-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-caramel-king-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-cocopopo-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-grande-crack-3/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-guerilla-glue-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-hell-bells-og-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-hindu-kush-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-jack-hair-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-lavender-best-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-mimosa-famosa-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-nba-diesel-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-og-kush-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-psychedelic-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-sour-diesel-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-special-skunk-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-strawberry-ferry-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-sweet-tooth-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-tropical-coconut-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-watermelon-jam-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-white-widow-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/feminised-seeds/news-haze-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/feminised-seeds/og-kush-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/feminised-seeds/special-crystal-haze-2/","True","200","OK"
"https://bulkseedbank.org/cannabis-seeds/feminised-seeds/special-lime-haze-2/","True","200","OK"
"https://dnagenetics.com/product/3peat/","True","200","OK"
"https://dnagenetics.com/product/bakers-delight/","True","200","OK"
"https://dnagenetics.com/product/cataract-cake-feminized-cannabis-seeds/","True","200","OK"
"https://dnagenetics.com/product/chocolate-truffle-shuffle-fem/","True","200","OK"
"https://dnagenetics.com/product/chocolope-256-reg/","True","200","OK"
"https://dnagenetics.com/product/chocolope-kush-reg/","True","200","OK"
"https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/","True","200","OK"
"https://dnagenetics.com/product/dna-cake-fem/","True","200","OK"
"https://dnagenetics.com/product/dna-mix-pack/","True","200","OK"
"https://dnagenetics.com/product/double-dipped-strawberry/","True","200","OK"
"https://dnagenetics.com/product/double-stuffed-sorbet/","True","200","OK"
"https://dnagenetics.com/product/gelato-sorbet/","True","200","OK"
"https://dnagenetics.com/product/generation-x-18-reg/","True","200","OK"
"https://dnagenetics.com/product/gorilla-glue-4-feminized/","True","200","OK"
"https://dnagenetics.com/product/hg23-aka-michael-jordan-auto/","True","200","OK"
"https://dnagenetics.com/product/kosher-dawg-autoflower-cannabis-seeds/","True","200","OK"
"https://dnagenetics.com/product/l-a-chocolat-feminized-cannabis-seeds/","True","200","OK"
"https://dnagenetics.com/product/mac-n-me/","True","200","OK"
"https://dnagenetics.com/product/macnana-auto-seeds/","True","200","OK"
"https://dnagenetics.com/product/purple-chocolope/","True","200","OK"
"https://dnagenetics.com/product/skywalker-kush-auto/","True","200","OK"
"https://dnagenetics.com/product/strawberry-banana-s1/","True","200","OK"
"https://dnagenetics.com/product/strawberry-sorbet/","True","200","OK"
"https://dnagenetics.com/product/swiss-miss-fem/","True","200","OK"
"https://dnagenetics.com/product/swiss-miss/","True","200","OK"
"https://dnagenetics.com/product/tangie/","True","200","OK"
"https://dnagenetics.com/product/watermelon-man-auto-seeds/","True","200","OK"
"https://dnagenetics.com/product/white-widow-feminized/","True","200","OK"
"https://dnagenetics.com/product/you-whoo-fem/","True","200","OK"
"https://dnagenetics.com/product/zallah-bread/","True","200","OK"
"https://www.genehtik.com/producto/northern-lights-auto/","True","200","OK"
"https://www.genehtik.com/producto/pack-5-semillas-autoflorecientes/","True","200","OK"
"https://www.genehtik.com/producto/semillas-de-cannabis-autoflorecientes/","True","200","OK"
"https://www.genehtik.com/producto/semillas-de-marihuana-autoflorecientes/","True","200","OK"
"https://www.genehtik.com/producto/semillas-de-marihuana/","True","200","OK"
"https://www.genehtik.com/producto/strawbilbo-banana-auto/","True","200","OK"
"https://www.genehtik.com/producto/txerri-bilbo-haze/","True","200","OK"
"https://hyp3rids.com/product/ace-of-haze","True","200","OK"
"https://hyp3rids.com/product/bandit-kush","True","200","OK"
"https://hyp3rids.com/product/bouillon-haze","True","200","OK"
"https://hyp3rids.com/product/bouillon-haze-hunter-pack","True","200","OK"
"https://hyp3rids.com/product/cbh-pure-haze-hunter-pack","True","200","OK"
"https://hyp3rids.com/product/cuban-blood-haze-el-squato-pheno","True","200","OK"
"https://hyp3rids.com/product/cuban-blood-haze-pure-haze-pheno","True","200","OK"
"https://hyp3rids.com/product/heirloom-purple-afghan-kush-bx1","True","200","OK"
"https://hyp3rids.com/product/heirloom-purple-afghan-kush-limited","True","200","OK"
"https://hyp3rids.com/product/lava-haze-hunter-pack","True","200","OK"
"https://hyp3rids.com/product/long-island-haze","True","200","OK"
"https://hyp3rids.com/product/redwood-haze","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/auto-flowering/diamond-queen-kush-auto-fem/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/auto-flowering/kc-51-fem-auto/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/auto-flowering/lemon-sputnik-auto-fem/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/auto-flowering/z-710/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/bahai-black-head-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/brains-damage-wed-cake-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/brasil-x-kc-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/cristal-limit-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/double-d-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/haze-special-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/kc-33-feminized/","True","200","OK"
"https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/kc-36-feminized/","True","200","OK"
