"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25907","c5-haze-x-kali-china-semillas-feminizadas","C5 Haze x Kali China Feminizada","6500","C5HazexKaliChina_feminized_seeds","https://www.aceseeds.org/semillas/c5-haze-x-kali-china-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","29772","c5-haze-x-panama-id-regular","C5 Haze x Panama I+D Regular","6500","C5HazexPanama_regular-seeds","https://www.aceseeds.org/semillas/c5-haze-x-panama-id-regular/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6425","c5hazexzamaldelica-regular","C5 Haze x Zamaldelica I+D Regular","6500","C5HazexZamaldelica_regular-seeds","https://www.aceseeds.org/semillas/c5hazexzamaldelica-regular/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31700","cachemira-semillas-regulares","Cachemira Regular","3500","Kashmir_regular_seeds","https://www.aceseeds.org/semillas/cachemira-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6507","cbd1bx2-semillas-feminizadas","CBD # 1 Bx2 Feminizada","","","https://www.aceseeds.org/semillas/cbd1bx2-semillas-feminizadas/","","","2025-09-26T18:10:47"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","4770","cbd1-semillas-feminizadas","CBD #1 Feminizada","","","https://www.aceseeds.org/semillas/cbd1-semillas-feminizadas/","","","2025-10-08T18:33:58"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6513","cbd1xpanama-semillas-feminizadas","CBD # 1 x Panama I+D Feminizada","3250","CBD1xPanama_feminized_seeds","https://www.aceseeds.org/semillas/cbd1xpanama-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6501","cbd1xpurplepck-2002-semillas-feminizadas","CBD # 1 x PCK morada 2002 I+D Feminizada","3250","CBD1xPurplePCK 2002_feminized-seeds","https://www.aceseeds.org/semillas/cbd1xpurplepck-2002-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6347","cbd5xerdpurt-semillas-regulares","CBD # 5 x ErdPurt I+D Regular","3250","CBD5xErdPurt_regular_seeds","https://www.aceseeds.org/semillas/cbd5xerdpurt-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25840","china-yunnan-semillas-regulares","China Yunnan Regular","3500","China_Yunnan_regular_seeds","https://www.aceseeds.org/semillas/china-yunnan-semillas-regulares/","","",""
