"site","title","price","url","image","type","sku","vendor"
"aceseeds.org","2 Guawi Feminizada","500","https://www.aceseeds.org/semillas/3-guawi-feminizada/","","wc_store_product","Guawi_feminized_seeds-1",""
"aceseeds.org","3 Thai A5 Haze Feminizada","500","https://www.aceseeds.org/semillas/3-thai-a5-haze-feminizada/","","wc_store_product","ThaiA5Haze_feminized_seeds-1",""
"aceseeds.org","A5 Haze x PCK I+D Regular","80","https://www.aceseeds.org/semillas/a5hazexpck-semillas-regulares/","","wc_store_product","A5HazexPCK_regular_seeds",""
"aceseeds.org","A5 Haze x Zamaldelica I+D Regular","80","https://www.aceseeds.org/semillas/a5hazexzamaldelica-semillas-regulares/","","wc_store_product","A5HazexZamaldelica_regular_seeds",""
"aceseeds.org","ACE Mix Feminizada","21","https://www.aceseeds.org/semillas/ace-mix-feminizada-semillas-baratas/","","wc_store_product","ACE_Mix_Feminized_cheap_seeds",""
"aceseeds.org","ACE Mix Regular","21","https://www.aceseeds.org/semillas/ace-mix-regular-semillas-baratas/","","wc_store_product","ACE_Mix_regular_cheap_seeds",""
"aceseeds.org","Afgana Maruf Selección Roja Regular","150","https://www.aceseeds.org/semillas/afgana-maruf-seleccion-roja-semillas-regulares/","","wc_store_product","Afghan_Maruf_24_Red_Selection_regular_seeds",""
"aceseeds.org","Afgana Nawa Selección Élite Regular","150","https://www.aceseeds.org/semillas/afgana-nawa-seleccion-elite-semillas-regulares/","","wc_store_product","Afghan_Nawa_Elite_regular_seeds",""
"aceseeds.org","Bangi Congo x Zamaldelica I+D Regular","50","https://www.aceseeds.org/semillas/bangicongoxzamaldelica-regular/","","wc_store_product","BangiCongoxZamaldelica_regular",""
"aceseeds.org","Bangi Haze Regular","35","https://www.aceseeds.org/semillas/bangi-haze-semillas-regulares/","","wc_store_product","Bangi_Haze_regular_seeds",""
"aceseeds.org","Bangi Haze x ErdPurt I+D Regular","50","https://www.aceseeds.org/semillas/bangihazexerdpurt-regular/","","wc_store_product","BangiHazexErdPurt_regular_seeds",""
"aceseeds.org","C5 Haze x Kali China Feminizada","65","https://www.aceseeds.org/semillas/c5-haze-x-kali-china-semillas-feminizadas/","","wc_store_product","C5HazexKaliChina_feminized_seeds",""
"aceseeds.org","C5 Haze x Panama I+D Regular","65","https://www.aceseeds.org/semillas/c5-haze-x-panama-id-regular/","","wc_store_product","C5HazexPanama_regular-seeds",""
"aceseeds.org","C5 Haze x Zamaldelica I+D Regular","65","https://www.aceseeds.org/semillas/c5hazexzamaldelica-regular/","","wc_store_product","C5HazexZamaldelica_regular-seeds",""
"aceseeds.org","Cachemira Regular","35","https://www.aceseeds.org/semillas/cachemira-semillas-regulares/","","wc_store_product","Kashmir_regular_seeds",""
"aceseeds.org","CBD # 1 x Panama I+D Feminizada","32,5","https://www.aceseeds.org/semillas/cbd1xpanama-semillas-feminizadas/","","wc_store_product","CBD1xPanama_feminized_seeds",""
"aceseeds.org","CBD # 1 x PCK morada 2002 I+D Feminizada","32,5","https://www.aceseeds.org/semillas/cbd1xpurplepck-2002-semillas-feminizadas/","","wc_store_product","CBD1xPurplePCK 2002_feminized-seeds",""
"aceseeds.org","CBD # 5 x ErdPurt I+D Regular","32,5","https://www.aceseeds.org/semillas/cbd5xerdpurt-semillas-regulares/","","wc_store_product","CBD5xErdPurt_regular_seeds",""
"aceseeds.org","China Yunnan Regular","35","https://www.aceseeds.org/semillas/china-yunnan-semillas-regulares/","","wc_store_product","China_Yunnan_regular_seeds",""
"aceseeds.org","Congo Feminizada","15","https://www.aceseeds.org/semillas/congo-semillas-feminizadas/","","wc_store_product","Congo_feminized_seeds",""
"aceseeds.org","Congo Regular","35","https://www.aceseeds.org/semillas/congo-semillas-regulares/","","wc_store_product","Congo_regular_seeds",""
"aceseeds.org","Congo x A5 Haze I+D Feminizada","65","https://www.aceseeds.org/semillas/congosxa5haze-semillas-feminizadas/","","wc_store_product","CongoxA5haze_feminized_seeds",""
"aceseeds.org","Congo x Zamaldelica I+D Regular","50","https://www.aceseeds.org/semillas/congo-x-zamaldelica-id-semillas-regulares/","","wc_store_product","CongoxZamaldelica_regular-seeds",""
"aceseeds.org","ErdPurt Feminizada","7,5","https://www.aceseeds.org/semillas/erdpurt-semillas-feminizadas/","","wc_store_product","ErdPurt_feminized_seeds",""
"aceseeds.org","ErdPurt Regular","17,5","https://www.aceseeds.org/semillas/erdpurt-semillas-regulares/","","wc_store_product","ErdPurt_regular_seeds",""
"aceseeds.org","ErdPurt x Panama I+D Feminizada","50","https://www.aceseeds.org/semillas/erdpurtxpanama-semillas-feminizadas/","","wc_store_product","ErdPurtxPanama_feminized_seeds",""
"aceseeds.org","Etíope Regular","35","https://www.aceseeds.org/semillas/etiopia-semillas-regulares/","","wc_store_product","Ethiopia_regular_seeds",""
"aceseeds.org","Golden Tiger Regular","35","https://www.aceseeds.org/semillas/golden-tiger-semillas-regulares/","","wc_store_product","Golden_Tiger_regular_seeds",""
"aceseeds.org","Golden Tiger x ErdPurt I+D Regular","50","https://www.aceseeds.org/semillas/goldentigerxerdpurt-regular/","","wc_store_product","GoldenTigerxErdPurt_regular",""
"aceseeds.org","Green Haze #19 x Zamaldelica I+D Regular","50","https://www.aceseeds.org/semillas/greenhazexzamaldelica-semillas-regulares/","","wc_store_product","GreenHazexZamaldelica_regular_seeds",""
"aceseeds.org","Guawi Feminizada","15","https://www.aceseeds.org/semillas/guawi-semillas-feminizadas/","","wc_store_product","Guawi_feminized_seeds",""
