"Name","Count"
"aceseeds.org","79"
"blimburnseeds.com","81"
"bulkseedbank.org","61"
"dnagenetics.com","43"
"drunderground.com","9"
"genehtik.com","22"
"hyp3rids.com","75"
"kcbrains.com","28"
"lasemillaautomatica.com","24"
"northcoastgenetics.com","58"
"spliffseeds.nl","34"
"thebulldogseeds.com","11"
"visionseeds.nl","22"
