"Name","Count"
"0-10","27"
"100-110","4"
"10-20","37"
"1190-1200","4"
"120-130","6"
"1240-1250","1"
"150-160","5"
"170-180","88"
"20-30","19"
"220-230","9"
"240-250","19"
"270-280","6"
"290-300","1"
"30-40","20"
"320-330","19"
"340-350","1"
"360-370","5"
"390-400","3"
"40-50","73"
"500-510","7"
"50-60","36"
"60-70","69"
"6390-6400","1"
"6570-6580","1"
"690-700","6"
"70-80","13"
"7900-7910","3"
"7990-8000","3"
"8000-8010","3"
"8010-8020","21"
"80-90","14"
"90-100","23"
