"Spec","Path","Action"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\k8s\cert-issuer.yaml","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\k8s\mongo.yaml","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\scripts\db-setup.mongosh","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\k8s\mongo-backup.yaml","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\k8s\backend.yaml","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\apps\frontend\public\manifest.json","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\k8s\frontend.yaml","write"
"# SF‑1 – Gesamtplan Architektur & Deploy.txt","C:\Users\kling\Desktop\SF-1_Sammelbecken\.github\workflows\backend-ci.yml","write"
